location,image,age
Taipa Village,https://youimg1.tripcdn.com/target/1A0f1c000001drx0w1787_C_640_470.jpg_.webp?proc=source/trip,2024-02-22 02:44:24.886378
The Venetian Macao,https://www.kayak.com/rimg/himg/ce/af/20/leonardo-2102131-MFMVE_6007876795_O-951385.jpg?width=1366&height=768&crop=true,2024-02-22 02:44:28.098064
Bangkok,https://media.istockphoto.com/id/1306075341/photo/bangkok-city-thailand.jpg?s=612x612&w=0&k=20&c=3PYLJ82zWrFf9Pn98rlkxghPUxL8lKQoFUI-IOsW3f8=,2024-02-22 12:29:01.100389
Chiang Mai,https://media.istockphoto.com/id/875499522/photo/chiang-mai-city-view.jpg?s=612x612&w=0&k=20&c=egdaaw9P3S6FtvYVZ6MjRqnM5zG5cBL_KUDV1I0FpV8=,2024-02-22 12:29:04.437641
Petronas Twin Towers,https://media.gettyimages.com/id/457086207/photo/petronas-twin-towers.jpg?s=612x612&w=0&k=20&c=I-QpAS4iMVKKh0USK9eLKqTTLOXIrO1O5S0zwvXlT2E=,2024-02-22 12:30:49.046078
Batu Caves,https://upload.wikimedia.org/wikipedia/commons/6/6e/Batu_caves_-_Int%C3%A9rieur_de_la_grotte.jpg,2024-02-22 12:30:52.175373
Merdeka Square,"https://lp-cms-production.imgix.net/2019-06/a5ba121e4cd4addaaf0f651ade355d67-merdeka-square.jpg?auto=format&w=1920&h=640&fit=crop&crop=faces,edges&q=75",2024-02-22 12:30:55.259250
Central Market,https://media.gettyimages.com/id/512151930/photo/grand-central-market-los-angeles.jpg?s=612x612&w=0&k=20&c=oi_6-pk_MVHjHvkq1uBvbdu9i85FmGxGLFAfl_Vw3gs=,2024-02-22 12:30:58.691790
Jalan Alor,https://media1.thrillophilia.com/filestore/86gmjxz0blc5ude9uea4knre7aws_1578556742_shutterstock_1334043581.jpg?w=1440&dpr=2,2024-02-22 12:31:02.063432
Phuket,https://upload.wikimedia.org/wikipedia/commons/6/60/Phuket_Aerial.jpg,2024-02-22 14:39:39.717959
Universal Studios Singapore,https://www.rwsentosa.com/-/jssmedia/project/non-gaming/rwsentosa/home/attractions/universal-studios-singapore-996x560.jpg?h=560&iar=0&w=996&rev=b252452278304d469d42c70a2d47473d&hash=76511DF95940B62A3E435471A92116A9,2024-02-22 14:40:09.165123
Shinjuku,https://cdn.cheapoguides.com/wp-content/uploads/sites/2/2019/08/W2A4541-1024x600.jpg,2024-02-22 14:40:30.781175
Harajuku,https://thejapaneseshop.co.uk/cdn/shop/articles/what-is-harajuku-style.jpg?v=1669994240&width=1100,2024-02-22 14:40:33.703064
Asakusa,https://www.gotokyo.org/en/destinations/eastern-tokyo/asakusa/images/xarea022_1001_34.jpg.pagespeed.ic.mWi85GZWxD.jpg,2024-02-22 14:40:37.030474
Akihabara,https://www.cnet.com/a/img/resize/bc2463a162c3dd4952d89873644fb2169bf1a37b/hub/2016/04/28/bcfec3b7-1f06-4199-bea5-cf448112a039/akihabara-main.jpg?auto=webp&fit=crop&height=675&width=1200,2024-02-22 14:40:40.030632
